"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1;C2","100uF","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"D1;D2;D3;D4","LED","~","LED_SMD:LED_0805_2012Metric","4",""
"F1","b0250 2.5A","~","Fuse:Fuse_2920_7451Metric","1",""
"J1","Conn_01x03","https://www.tme.eu/en/details/s3b-xh-a-1/raster-signal-connectors-2-50mm/jst/s3b-xh-a-1-lf-sn/","Connector_JST:JST_XH_S03B-XH-A_1x03_P2.50mm_Horizontal","1",""
"J2;J3","Conn_01x02","https://www.tme.eu/en/details/s2b-xh-a-1/raster-signal-connectors-2-50mm/jst/s2b-xh-a-1-lf-sn/","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","2",""
"J4;J5","Conn_01x19_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","2",""
"R1;R2;R3;R4;R6","1k","~","Resistor_SMD:R_0805_2012Metric","5",""
"R5","2.2k","~","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","Slide switch ON-ON","","Button_Switch_THT:SW_CuK_OS102011MA1QN1_SPDT_Angled","1",""
"U1","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_SMD:TO-263-2","1",""
"U2","ESP32-DEVKITC","","mainboard:ESP32-DEVKITC","1",""
"U3","L293","http://www.ti.com/lit/ds/symlink/l293.pdf","Package_DIP:DIP-16_W8.89mm_SMDSocket_LongPads","1",""
